structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,donor,sample,name,parent_structure_id,hemisphere,graph_order,structure_id_path,color_hex_triplet
4150,12,141667181,CX,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",127562211,150,125,158,-59,-67,-16,donor15496,donor15496_sample_201,"inferior temporal gyrus, left, lateral bank of gyrus",4148,L,273,/4005/4006/4007/4008/4132/4147/4148/4150/,FF8D7F
4238,11,147712584,CX,CgGr-i,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",127512017,114,107,144,-23,-53,2,donor15496,donor15496_sample_202,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",4236,L,117,/4005/4006/4007/4008/4219/4220/4235/4236/4238/,7F6933
4143,11,156434441,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",127514503,152,123,146,-61,-55,-14,donor15496,donor15496_sample_203,"middle temporal gyrus, left, inferior bank of gyrus",4141,L,282,/4005/4006/4007/4008/4132/4140/4141/4143/,FF907F
4087,9,141667175,CX,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",127050456,130,55,117,-39,-26,54,donor15496,donor15496_sample_204,"postcentral gyrus, left, bank of the central sulcus",4086,L,234,/4005/4006/4007/4008/4084/4085/4086/4087/,FF6C62
4178,8,139409859,CX,PLP,"planum polare, left",127048538,136,112,107,-45,-16,-3,donor15496,donor15496_sample_205,"planum polare, left",4177,L,287,/4005/4006/4007/4008/4132/4177/4178/,FF937F
4223,8,139409797,CX,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",127045123,99,65,104,-8,-13,44,donor15496,donor15496_sample_206,"cingulate gyrus, frontal part, left, superior bank of gyrus",4222,L,102,/4005/4006/4007/4008/4219/4220/4221/4222/4223/,7F5B33
4073,8,139409765,CX,PCLa-s,"paracentral lobule, anterior part, left, superior bank of gyrus",127045125,93,40,104,-2,-13,69,donor15496,donor15496_sample_207,"paracentral lobule, anterior part, left, superior bank of gyrus",4072,L,56,/4005/4006/4007/4008/4009/4071/4072/4073/,E8CF59
4099,10,139409895,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",127055904,124,42,130,-33,-39,67,donor15496,donor15496_sample_208,"superior parietal lobule, left, inferior bank of gyrus",4097,L,253,/4005/4006/4007/4008/4084/4096/4097/4099/,FF7B62
4231,10,139409927,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",127056266,97,86,127,-6,-36,23,donor15496,donor15496_sample_209,"cingulate gyrus, parietal part, left, inferior bank of gyrus",4229,L,110,/4005/4006/4007/4008/4219/4220/4228/4229/4231/,7F6233
4159,10,141667173,CX,FuG-l,"fusiform gyrus, left, lateral bank of gyrus",127056053,131,132,133,-40,-42,-23,donor15496,donor15496_sample_210,"fusiform gyrus, left, lateral bank of gyrus",4157,L,261,/4005/4006/4007/4008/4132/4156/4157/4159/,FF877F
4135,7,139409761,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",126712347,157,98,93,-66,-2,11,donor15496,donor15496_sample_211,"superior temporal gyrus, left, lateral bank of gyrus",4134,L,294,/4005/4006/4007/4008/4132/4133/4134/4135/,FF997F
4023,6,127687073,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",124122525,92,39,78,-1,13,70,donor15496,donor15496_sample_212,"superior frontal gyrus, left, medial bank of gyrus",4022,L,83,/4005/4006/4007/4008/4009/4021/4022/4023/,E8D959
4270,6,127687043,CX,LIG,"long insular gyri, left",124110659,134,127,83,-43,8,-18,donor15496,donor15496_sample_213,"long insular gyri, left",4269,L,93,/4005/4006/4007/4008/4268/4269/4270/,FFF161
4135,5,156434425,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",123636951,152,117,74,-61,17,-8,donor15496,donor15496_sample_214,"superior temporal gyrus, left, lateral bank of gyrus",4134,L,294,/4005/4006/4007/4008/4132/4133/4134/4135/,FF997F
4223,3,149052678,CX,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",121130126,95,77,43,-4,48,32,donor15496,donor15496_sample_216,"cingulate gyrus, frontal part, left, superior bank of gyrus",4222,L,102,/4005/4006/4007/4008/4219/4220/4221/4222/4223/,7F5B33
4030,3,127686939,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",121129788,125,74,42,-34,49,35,donor15496,donor15496_sample_217,"middle frontal gyrus, left, superior bank of gyrus",4029,L,46,/4005/4006/4007/4008/4009/4028/4029/4030/,E8CD59
4898,3,139409741,CX,SRoG,"superior rostral gyrus, left",121128140,96,120,44,-5,47,-11,donor15496,donor15496_sample_218,"superior rostral gyrus, left",4897,L,89,/4005/4006/4007/4008/4009/4897/4898/,E8DB59
4224,3,127686987,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",121128139,97,114,43,-6,48,-5,donor15496,donor15496_sample_219,"cingulate gyrus, frontal part, left, inferior bank of gyrus",4222,L,103,/4005/4006/4007/4008/4219/4220/4221/4222/4224/,7F5B33
